,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
83,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
84,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
85,"Lucky Building, To Kwa Wan",Kowloon City,,1368
86,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
87,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
88,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1374
89,"The Wings Phase 1, Tseung Kwan O",Sai Kung,,1375
90,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
97,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
98,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1384
99,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1385
100,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1386
101,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1387
102,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1388
103,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1389
104,"Wings At Sea, LOHAS Park",Sai Kung,,1390
105,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1391
106,"Panda Hotel, Tsuen Wan",Tsuen Wan,,1392
107,"On Hong House, Tsz On Court",Wong Tai Sin,,1393
108,"Block 1, Bay View Garden",Wong Tai Sin,,1394
109,"G/F, No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1395
110,"Lei Ye House, Lei Yue Mun Estate, Yau Tong",Kwun Tong,,1396
111,"Sing San House, Choi Wan Estate",Wong Tai Sin,,1397
112,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1398
113,"Lucky Building, To Kwa Wan",Kowloon City,,1400
114,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1401
115,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1402
116,"Ming Sing House, Kin Ming Estate, Tiu Keng Leng",Sai Kung,,1404
117,Manning Theatre Building,Wong Tai Sin,,1407
118,"Gomme House, Po Kong Village Road",Wong Tai Sin,,1408
119,"Tak Wo House, Wo Che Estate",Sha Tin,,1409
120,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,,1410
121,"Hung Shek House, Ping Shek Estate",Kwun Tong,,1414
122,"Wah Yuen House, Chuk Yuen South Estate",Wong Tai Sin,,1415
123,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1416
124,Sheraton Hotel Hong Kong,Yau Tsim Mong,,1419
125,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1424
126,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1425
127,"Ling Nam Building, Cheung Ning Street",Kowloon City,,1426
128,"Block 7, Lung Mun Oasis",Tuen Mun,,1427
129,Orion Court,Yuen Long,,1428
130,"Tower 3, The Wings, Tseung Kwan O",Sai Kung,,1429
131,Manning Theatre Building,Wong Tai Sin,,1430
132,"Block 10, Locwood Court, Kingswood Villas",Yuen Long,,1431
133,"Wu Kwong House, Wu King Estate",Tuen Mun,,1432
134,Ping Shek Estate Sushi Express,Kwun Tong,22/06/2020,1415
135,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
136,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
137,Ngau Chi Wan Municipal Services Building,Kwun Tong,01/07/2020,1414
138,The Octagon Sportful Garden Restaurant,Tsuen Wan,01/07/2020,1358
139,Tuen Mun Town Plaza Teishoku 8,Tuen Mun,01/07/2020,"1402, 1403"
140,Shing Wah Mansion Van Gogh Kitchen,Wan Chai,01/07/2020,1319
141,17-19 Man Wai Street 慶豐燒鵝餐廳小廚,Yau Tsim Mong,01/07/2020,1317
142,Block 3 Tanner Garden,Eastern,02/07/2020,1296
143,Island Place,Eastern,02/07/2020,1296
144,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
145,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
146,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
147,Hong Kong River Trade Terminal 建榮飯堂,Tuen Mun,02/07/2020,"1269, 1427, 1432"
148,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
149,12A-12H Westlands RoadLadies & Gentlemen Restaurant,Eastern,03/07/2020,1304
150,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
151,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
152,Dominion Centre,Wan Chai,03/07/2020,1319
153,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
154,"Chatham Road South 107-109, Oriental Crystal Finance Centre",Yau Tsim Mong,03/07/2020,1359
155,Diocesan Boys' School Primary Division,Kowloon City,04/07/2020,1313
156,Lei Yue Mun Municipal Services Building,Kwun Tong,04/07/2020,1368
157,"Yuk Shek House, Ping Shek Estate  Bun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1361, 1388, 1414"
158,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
159,Shui Chuen O Plaza 太 子燒味,Sha Tin,04/07/2020,1379
160,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
161,"Room 1212, 12/F, Parklane Plaza",Tuen Mun,04/07/2020,1403
162,"Shop B02, Basement, Tung Wai Court",Tuen Mun,04/07/2020,1402
163,5 Luard Road Feather & Bone,Wan Chai,04/07/2020,1319
164,Causeway Bay Plaza Deluxe Daikiya Japanese Restaurant,Wan Chai,04/07/2020,1319
165,Choi Wan Commercial Complex Choi Wan Market,Wong Tai Sin,04/07/2020,1361
166,"Temple Mall South, Kam Kee Cafe",Wong Tai Sin,04/07/2020,1358
167,Tse Wan Shan Shopping Centre,Wong Tai Sin,04/07/2020,1404
168,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
169,Austin Mansion,Yau Tsim Mong,04/07/2020,1394
170,Harbour City Shake Shack,Yau Tsim Mong,04/07/2020,1319
171,Langham Pllace,Yau Tsim Mong,04/07/2020,1297
172,Prudential Centre Food Republic,Yau Tsim Mong,04/07/2020,1313
173,Victoria Mall,Yau Tsim Mong,04/07/2020,1394
174,56-58 Nga Tsin Wai Road Shun Hing Restaurant,Kowloon City,05/07/2020,1358
175,Domain,Kwun Tong,05/07/2020,1368
176,Kwun Tong Plaza  龍 寶酒家,Kwun Tong,05/07/2020,1332
177,Lei Yue Mun Plaza,Kwun Tong,05/07/2020,1368
178,Metro Town Tong Kee Bao Dim,Sai Kung,05/07/2020,1356
179,13 Tai Wai Road,Sha Tin,05/07/2020,1294
180,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
181,New Town Plaza,Sha Tin,05/07/2020,1294
182,Shui Chuen O Plaza McDonalds,Sha Tin,05/07/2020,1381
183,Tseun Wan Plaza Mou Mou Club,Tsuen Wan,05/07/2020,1313
184,Lee Theatre Plaza The Graces Restaurant,Wan Chai,05/07/2020,1319
185,Renaissance Hong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
186,Commerical Complex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
187,24 Man Wai Street新 華寶城餐廳,Yau Tsim Mong,05/07/2020,1356
188,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396"
189,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
190,Westlands Centre,Eastern,06/07/2020,1304
191,"Wai King Building, 167 Ngau Tau Kok Road",Kwun Tong,06/07/2020,1371
192,Choi Ming Shopping Centre 茶魚飯后,Sai Kung,06/07/2020,1356
193,Park Central Shopping Centre Kanada-ya,Sai Kung,06/07/2020,1375
194,"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,06/07/2020,1359
195,Kings Wing Plaza 1 Rich Pot Shabu Shabu,Sha Tin,06/07/2020,1293
196,MOSTown,Sha Tin,06/07/2020,1372
197,Shui Chuen O Plaza,Sha Tin,06/07/2020,1294
198,Sun Chui Shopping Centre Pizza Hut,Sha Tin,06/07/2020,1387
199,Trade Square,Sham Shui Po,06/07/2020,1313
200,Winsum Industrial Building,Sham Shui Po,06/07/2020,1428
201,Richland Garden Shopping Arcade,Tuen Mun,06/07/2020,1296
202,Lee Garden phase 1,Wan Chai,06/07/2020,1358
203,12 Yuk Wah Cres Times Café,Wong Tai Sin,06/07/2020,1358
204,2 Kwai Chi Pat,Wong Tai Sin,06/07/2020,1388
205,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
206,Tsz Wan Shan Shopping Centre Deluxe Cuisine,Wong Tai Sin,06/07/2020,"1365, 1393, 1424, 1425"
207,Yee Hing Court Via Restaurant,Yau Tsim Mong,06/07/2020,1426
208,Dongdiwan Shopping Mall Genki Sushi,Islands,07/07/2020,1377
209,67 Pak Tai Street,Kowloon City,07/07/2020,1368
210,Hong Kong Baptist Hospital,Kowloon City,07/07/2020,"1314, 1364"
211,Tokwawan Mansion TamJaiSamGor,Kowloon City,07/07/2020,1368
212,4-24 Ting Fu Street Ping Wheat Noodles,Kwun Tong,07/07/2020,1329
213,"Cheng Yu Tung Building, The Hong Kong Univeristy of Science and Technology",Sai Kung,07/07/2020,1416
214,MTR Tiu Keng Leng StationHuman Health Medical Centre,Sai Kung,07/07/2020,1356
215,Grand Central Plaza Beans The Greenhouse,Sha Tin,07/07/2020,1383
216,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,Sha Tin,07/07/2020,1387
217,"15/F, The L. Square, Causeway Bay",Wan Chai,07/07/2020,1415
218,Temple Mall South ItaMoMo Café,Wong Tai Sin,07/07/2020,1383
219,60A Lung Chi Path 新志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
220,Choi Wan Commerical Complex Lucky Dragon Palace Restaurant,Wong Tai Sin,07/07/2020,1361
221,Good Hope School,Wong Tai Sin,07/07/2020,"1375, 1429"
222,Our Lady's College,Wong Tai Sin,07/07/2020,1331
223,Tsz Wan Shan Shopping Centre  Pho Nguyen Lan,Wong Tai Sin,07/07/2020,1383
224,Argyle Centre Phase 1,Yau Tsim Mong,07/07/2020,1315
225,Goose King's Roasted Kitchen Furniture Commercial Building,Yau Tsim Mong,07/07/2020,1332
226,The One,Yau Tsim Mong,07/07/2020,1431
227,"Saga Learning Center, Maxi Mall, City Garden",Eastern,08/07/2020,1390
228,Park Central Shopping Centre,Sai Kung,08/07/2020,1375
229,PopCorn,Sai Kung,08/07/2020,1404
230,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,08/07/2020,"1310, 1311, 1312, 1321, 1408, 1410"
231,Sincere Podium,Yau Tsim Mong,08/07/2020,1368
232,City Plaza,Eastern,09/07/2020,1376
233,Maritime Square 2 Snack Express,Kwai Tsing,09/07/2020,1333
234,No.8 Clear Water Bay Road Café de Coral,Kwun Tong,09/07/2020,1394
235,G.T. (Ellen Yeung) School,Sai Kung,09/07/2020,1371
236,"1-2, G/F, World-wide Industrial Centre, Fo Tan",Sha Tin,09/07/2020,1400
237,Christian Alliance S C Chan Memorial College,Tuen Mun,09/07/2020,1402
238,Shan King Estate Taoist Ching Chung Primary School,Tuen Mun,09/07/2020,1403
239,Ngau Chi Wan Market,Wong Tai Sin,09/07/2020,"1371, 1388, 1389 1394"
240,Wang Fung Building,Yuen Long,09/07/2020,1428
241,Ping Shek Estate Fortune Harbour Restaurant,Kwun Tong,10/07/2020,1414
