,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
41,葵青,葵盛西村 10座,,1317
42,灣仔,禮頓山第三座,,1319
43,荃灣,悅來酒店,,1320
44,觀塘,彩福邨彩歡樓,,1321
45,黃大仙,彩輝邨彩華樓,,1322
46,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1323
47,葵青,葵芳邨葵喜樓,,1324
48,灣仔,香港銅鑼灣皇冠假日酒店,,1325
49,灣仔,香港銅鑼灣皇冠假日酒店,,1326
50,觀塘,順安邨安頌樓,,1329
51,黃大仙,鳳德邨碧鳳樓,,1331
52,黃大仙,鳳德邨碧鳳樓,,1332
53,離島,藍天海岸影岸.紅 A座,,1333
54,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1334
55,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1335
56,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1336
57,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1337
58,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1338
59,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1339
60,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1340
61,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1341
62,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1342
63,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1343
64,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1344
65,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1345
66,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1346
67,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1347
68,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1348
69,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1349
70,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1350
71,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1351
72,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1352
73,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1353
74,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1354
75,西貢,善明邨善智樓,,1356
76,黃大仙,慈正邨正暉樓,,1357
77,黃大仙,慈正邨正暉樓,,1358
78,黃大仙,慈正邨正暉樓,,1359
79,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1360
80,黃大仙,彩輝邨彩華樓,,1361
81,灣仔,香港銅鑼灣皇冠假日酒店,,1362
82,油尖旺,海富苑海韻閣,,1364
83,黃大仙,慈安苑安康閣,,1365
84,深水埗,青山道 260-266號永隆大廈,,1366
85,九龍城,土瓜灣 立基大廈,,1368
86,黃大仙,牛池灣彩輝邨彩華樓,,1371
87,沙田,,,1372
88,黃大仙,牛池灣彩輝邨彩華樓,,1374
89,西貢,將軍澳天晉一期,,1375
90,觀塘,安達邨孝達樓,,1376
91,沙田,水泉澳邨明泉樓,,1377
92,沙田,水泉澳邨明泉樓,,1378
93,沙田,水泉澳邨明泉樓,,1379
94,沙田,水泉澳邨明泉樓,,1380
95,沙田,水泉澳邨明泉樓,,1381
96,沙田,水泉澳邨明泉樓,,1382
97,沙田,水泉澳邨明泉樓,,1383
98,沙田,水泉澳邨明泉樓,,1384
99,沙田,水泉澳邨明泉樓,,1385
100,沙田,水泉澳邨明泉樓,,1386
101,沙田,水泉澳邨明泉樓,,1387
102,黃大仙,彩輝邨彩華樓,,1388
103,黃大仙,彩輝邨彩華樓,,1389
104,西貢,"日出康城, 晉海",,1390
105,屯門,屯門山景邨景美樓,,1391
106,荃灣,荃灣悅來酒店,,1392
107,黃大仙,慈安苑安康閣,,1393
108,黃大仙,威豪花園第一座,,1394
109,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1395
110,觀塘,油塘鯉魚門邨鯉意樓,,1396
111,黃大仙,彩雲邨星晨樓,,1397
112,黃大仙,彩輝邨彩華樓,,1398
113,九龍城,土瓜灣立基大廈,,1400
114,黃大仙,彩輝邨彩華樓,,1401
115,屯門,屯門山景邨景美樓,,1402
116,西貢,調景嶺健明邨明星樓,,1404
117,黃大仙,萬年戲院大廈,,1407
118,黃大仙,蒲崗村道高美樓,,1408
119,沙田,禾輋邨德和樓,,1409
120,黃大仙,慈樂邨樂仁樓,,1410
121,觀塘,坪石邨紅石樓,,1414
122,黃大仙,竹園南邨華園樓,,1415
123,黃大仙,彩輝邨彩華樓,,1416
124,油尖旺,香港喜來登酒店,,1419
125,黃大仙,慈正邨正康樓,,1424
126,黃大仙,慈正邨正康樓,,1425
127,九龍城,長寧街嶺南大廈,,1426
128,屯門,龍門居 7座,,1427
129,元朗,康德閣,,1428
130,西貢,天晉 3座,,1429
131,黃大仙,萬年戲院大廈,,1430
132,元朗,嘉湖山莊樂湖居 10座,,1431
133,屯門,湖景邨湖光樓,,1432
134,觀塘,坪石邨 爭鮮迴轉 壽司,22/06/2020,1415
135,深水埗,西九龍中心,24/06/2020,"1233,1263"
136,深水埗,李鄭屋商場,29/06/2020,1289
137,觀塘,牛池灣街市熟食中 心 德利餐廳,01/07/2020,1414
138,荃灣,嘉達環球中心 陶 源酒家,01/07/2020,1358
139,屯門,屯門市中心 定食 8,01/07/2020,"1402,1403"
140,灣仔,勝華樓  凡高廚房,01/07/2020,1319
141,油尖旺,文蔚街 17-19號 慶豐燒鵝餐廳小廚,01/07/2020,1317
142,東區,丹拿花園第 3座,02/07/2020,1296
143,東區,港運城,02/07/2020,1296
144,九龍城,九龍醫院醫管局資 訊大樓,02/07/2020,1292
145,九龍城,家居庭(第 12期) 黃埔天地,02/07/2020,1296
146,九龍城,黃埔花園第 11期 聚寶坊,02/07/2020,1296
147,屯門,香港內河碼頭  建 榮飯堂,02/07/2020,"1269,1427,1432"
148,油尖旺,通菜街 113-115號,02/07/2020,1296
149,東區,華蘭路 12A-12H號 男女煮角,03/07/2020,1304
150,離島,香港迪士尼樂園酒 店,03/07/2020,1292
151,深水埗,青山道 261號,03/07/2020,1263
152,灣仔,東美商業中心,03/07/2020,1319
153,灣仔,希慎廣場 一風堂,03/07/2020,1319
154,油尖旺,漆咸道南 107-109,03/07/2020,1359
155,九龍城,拔萃男書院附屬小 學,04/07/2020,1313
156,觀塘,鯉魚門市政大廈,04/07/2020,1368
157,觀塘,坪石邨玉石樓  彬 記粥麵美食,04/07/2020,"1269,1283,1291,1297, 1361,1388,1414"
158,沙田,馬鞍山廣場,04/07/2020,1292
159,沙田,水泉澳廣場 太子 燒味餐廳,04/07/2020,1379
160,深水埗,欽州街 60號,04/07/2020,1263
161,屯門,栢麗廣場 12樓 1212室,04/07/2020,1403
162,屯門,東威閣地庫B02 號舖,04/07/2020,1402
163,灣仔,盧押道 5號 Feather & Bone,04/07/2020,1319
164,灣仔,銅鑼灣廣場  極尚 大喜屋日本料理,04/07/2020,1319
165,黃大仙,彩雲商場 彩雲街 市,04/07/2020,1361
166,黃大仙,黃大仙中心南館金 記冰室,04/07/2020,1358
167,黃大仙,慈雲山中心,04/07/2020,1404
168,油尖旺,旺角道 30-36號 麥當勞,04/07/2020,1305
169,油尖旺,柯士甸大廈,04/07/2020,1394
170,油尖旺,海港城  Shake Shack,04/07/2020,1319
171,油尖旺,朗豪坊,04/07/2020,1297
172,油尖旺,恆豐中心 大食代,04/07/2020,1313
173,油尖旺,港景匯商場,04/07/2020,1394
174,九龍城,衙前圍道 56-58號 順興餐廳,05/07/2020,1358
175,觀塘,油塘 大本型,05/07/2020,1368
176,觀塘,觀塘廣場 龍寶酒 家,05/07/2020,1332
177,觀塘,鯉魚門廣場,05/07/2020,1368
178,西貢,都會駅 唐記包點,05/07/2020,1356
179,沙田,大圍道 13號,05/07/2020,1294
180,沙田,瀝源商場,05/07/2020,1293
181,沙田,新城市廣場,05/07/2020,1294
182,沙田,水泉澳廣場 麥當 勞,05/07/2020,1381
183,荃灣,荃灣廣場 牛涮鍋,05/07/2020,1313
184,灣仔,利舞臺廣場  玉桃 軒,05/07/2020,1319
185,灣仔,香港萬麗海景酒店,05/07/2020,1313
186,黃大仙,彩雲商場  麥當勞,05/07/2020,1305
187,油尖旺,文蔚街 24號 新華 寶城餐廳,05/07/2020,1356
188,油尖旺,文英街 26-28號 新發茶餐廳,05/07/2020,"1289,1301,1317,1324, 1329,1396"
189,油尖旺,旺角城大廈,05/07/2020,1304
190,東區,華蘭中心,06/07/2020,1304
191,觀塘,牛頭角道 167號偉 景樓,06/07/2020,1371
192,西貢,彩明商場 茶魚飯 后,06/07/2020,1356
193,西貢,將軍澳中心(商場) 金田家,06/07/2020,1375
194,沙田,沙田凱悅酒店,06/07/2020,1359
195,沙田,京瑞廣場 1期 豐 鍋日式涮涮鍋,06/07/2020,1293
196,沙田,馬鞍山新港城中心,06/07/2020,1372
197,沙田,水泉澳廣場,06/07/2020,1294
198,沙田,新翠商場 Pizza Hut,06/07/2020,1387
199,深水埗,貿易廣場,06/07/2020,1313
200,深水埗,永盛工業大廈,06/07/2020,1428
201,屯門,啟豐商場,06/07/2020,1296
202,灣仔,利園一期,06/07/2020,1358
203,黃大仙,毓華里 12-14號 時代冰室,06/07/2020,1358
204,黃大仙,貴池徑 2號,06/07/2020,1388
205,黃大仙,中華基督教會扶輪 中學,06/07/2020,1295
206,黃大仙,慈雲山中心 百匯 軒,06/07/2020,"1365,1393,1424,1425"
207,油尖旺,怡興閣 維亞軒餐 廳,06/07/2020,1426
208,離島,東堤灣畔商場 元 氣壽司,07/07/2020,1377
209,九龍城,北帝街 67號,07/07/2020,1368
210,九龍城,香港浸信會醫院,07/07/2020,"1314,1364"
211,九龍城,土瓜灣大廈 譚仔 三哥米線,07/07/2020,1368
212,觀塘,定富街 4-24號 豬嘜車仔麵,07/07/2020,1329
213,西貢,香港科技大學鄭裕 彤樓,07/07/2020,1416
214,西貢,港鐵調景嶺站 盈 健醫療中心,07/07/2020,1356
215,沙田,新城市中央廣場 荳子,07/07/2020,1383
216,沙田,九龍城浸信會禧年 (恩平)小學,07/07/2020,1387
217,灣仔,銅鑼灣 L.Square15樓全 層,07/07/2020,1415
218,黃大仙,黃大仙中心南館,07/07/2020,1383
219,黃大仙,龍池徑 60號 A 新志興至尊燒鵝大 王,07/07/2020,1305
220,黃大仙,彩雲商場 彩龍皇 宮大酒樓,07/07/2020,1361
221,黃大仙,德望中學,07/07/2020,"1375,1429"
222,黃大仙,聖母書院,07/07/2020,1331
223,黃大仙,慈雲山中心 阮蘭 坊,07/07/2020,1383
224,油尖旺,旺角中心第 1座,07/07/2020,1315
225,油尖旺,旺角鵝皇館 新興,07/07/2020,1332
226,油尖旺,The One,07/07/2020,1431
227,東區,城市花園城市中心 雋妍教育中心,08/07/2020,1390
228,西貢,將軍澳中心(商場),08/07/2020,1375
229,西貢,PopCorn,08/07/2020,1404
230,黃大仙,蒲明里 6、8、 10、12號及蒲惠 里 11號,08/07/2020,"1310,1311,1312, 1321,1408,1410"
231,油尖旺,先達廣場,08/07/2020,1368
232,東區,太古城中心,09/07/2020,1376
233,葵青,青衣城 2 小食快 綫,09/07/2020,1333
234,觀塘,清水灣道 8號 大 家樂,09/07/2020,1394
235,西貢,優才(楊殷有娣) 學校,09/07/2020,1371
236,沙田,火炭環球工業中心 地下 1-2室,09/07/2020,1400
237,屯門,宣道會陳瑞芝紀念 中學,09/07/2020,1402
238,屯門,山景邨 道教青松 小學,09/07/2020,1403
239,黃大仙,牛池灣街市,09/07/2020,"1371,1388,1389 1394"
240,元朗,宏豐大廈,09/07/2020,1428
241,觀塘,坪石邨商場  富港 酒家,10/07/2020,1414
