,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,中西區,Mier Serviced Apartments,,132
1,九龍城,新翠園,,351
2,南區,金豐大廈,,496
3,灣仔,柏寧酒店,,648
4,灣仔,英皇駿景酒店,,648
5,油尖旺,帝京酒店,,648
6,元朗,嘉湖山莊樂湖居 4座,,876
7,油尖旺,恆豐酒店,,949
8,油尖旺,帝國酒店,,949
9,油尖旺,最佳盛品酒店尖沙咀,,949
10,中西區,文咸東街 127號萬和閣,,968
11,葵青,大窩口邨富泰樓,,1004
12,沙田,雲疊花園 2座,,1007
13,中西區,花園台 3座,,1009
14,屯門,星堤 11座,,1013
15,葵青,荃灣絲麗酒店,,1015
16,灣仔,太極軒 138,,1017
17,油尖旺,旺角維景酒店,,1018
18,深水埗,樂年花園 2座,,1018
19,東區,康怡花園 F座,,1022
20,離島,海堤灣畔 1座,,1024
21,九龍城,寶石戲院大廈 A座,,1025
22,離島,裕東苑賀東閣,,1026
23,北區,聯發大廈,,1034
24,中西區,四方街 3號,,1035
25,灣仔,The Ellipsis,,1036
26,九龍城,海逸豪園 17座,,1038
27,深水埗,石硤尾報案中心及西九龍機動 部隊行動基地,01/04/2020,"663, 854"
28,東區,華蘭中心,01/04/2020,"801, 960"
29,灣仔,告士打道 88號,03/04/2020,"923, 925"
30,中西區,信德中心,04/04/2020,"923, 932"
31,灣仔,皇室堡,05/04/2020,"903, 925, 944"
32,灣仔,養和醫院,13/04/2020,1022
33,東區,太古城中心,14/04/2020,1022
34,南區,海怡東商場,16/04/2020,496
35,沙田,愉翠商場,17/04/2020,1004
36,荃灣,大窩口第二商場,20/04/2020,1004
37,荃灣,荃薈,20/04/2020,1004
38,中西區,文華東方酒店,21/04/2020,1036
39,中西區,the L. place,21/04/2020,1036
