,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
83,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
84,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
85,"Lucky Building, To Kwa Wan",Kowloon City,,1368
86,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
87,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
88,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1374
89,"The Wings Phase 1, Tseung Kwan O",Sai Kung,,1375
90,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
97,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
98,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1384
99,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1385
100,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1386
101,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1387
102,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1388
103,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1389
104,"Wings At Sea, LOHAS Park",Sai Kung,,1390
105,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1391
106,"Panda Hotel, Tsuen Wan",Tsuen Wan,,1392
107,"On Hong House, Tsz On Court",Wong Tai Sin,,1393
108,"Block 1, Bay View Garden",Wong Tai Sin,,1394
109,"G/F, No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1395
110,"Lei Ye House, Lei Yue Mun Estate, Yau Tong",Kwun Tong,,1396
111,"Sing San House, Choi Wan Estate",Wong Tai Sin,,1397
112,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1398
113,"Lucky Building, To Kwa Wan",Kowloon City,,1400
114,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1401
115,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1402
116,"Ming Sing House, Kin Ming Estate, Tiu Keng Leng",Sai Kung,,1404
117,Manning Theatre Building,Wong Tai Sin,,1407
118,"Gomme House, Po Kong Village Road",Wong Tai Sin,,1408
119,"Tak Wo House, Wo Che Estate",Sha Tin,,1409
120,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,,1410
121,"Hung Shek House, Ping Shek Estate",Kwun Tong,,1414
122,"Wah Yuen House, Chuk Yuen South Estate",Wong Tai Sin,,1415
123,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1416
124,Sheraton Hotel Hong Kong,Yau Tsim Mong,,1419
125,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1424
126,"Ching Hong House, Tsz Ching Estate",Wong Tai Sin,,1425
127,"Ling Nam Building, Cheung Ning Street",Kowloon City,,1426
128,"Block 7, Lung Mun Oasis",Tuen Mun,,1427
129,Orion Court,Yuen Long,,1428
130,"Tower 3, The Wings, Tseung Kwan O",Sai Kung,,1429
131,Manning Theatre Building,Wong Tai Sin,,1430
132,"Block 10, Locwood Court, Kingswood Villas",Yuen Long,,1431
133,"Wu Kwong House, Wu King Estate",Tuen Mun,,1432
134,"Tower 8, Tsuen Kwan O Plaza",Sai Kung,,1433
135,"183, Tai Nam Street",Sham Shui Po,,1434
136,"Cheong Yin House, Nam Cheong Estate",Sham Shui Po,,1435
137,"Luen Yuet House, Kwai Luen Estate",Kwai Tsing,,1436
138,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1437
139,Tong Kung Leng,North,,1438
140,"Block A, Wang Hong House, Hong Wah Court",Kwun Tong,,1439
141,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,,1440
142,"Block 2, Po Tin Interim Housing",Kwun Tong,,1442
143,"Po Kan House, Po Lam Estate",Sai Kung,,1443
144,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1444
145,"Ching On House, Tsz Ching Estate",Wong Tai Sin,,1445
146,"Block 1, Bayview Garden",Tsuen Wan,,1446
147,"Block 15, Braemar Hill Mansions",Eastern,,1447
148,"Tower 3, the Leighton Hill",Wan Chai,,1448
149,"Tan Fung House, Choi Hung Estate",Wong Tai Sin,,1449
150,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1450
151,"Block 1, Serenity Place",Sai Kung,,1453
152,"Lok King House, Lai King Estate",Kwai Tsing,,1454
153,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1455
154,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1456
155,"Tak Sui House, Tak Long Estate",Kwun Tong,,1457
156,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1458
157,"On Shun House, Shun On Estate",Kwun Tong,,1463
158,"Yu Kui House, Yu Chui Court",Sha Tin,,1464
159,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1465
160,"Tower 8, Tseung Kwan O Plaza",Sai Kung,,1466
161,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1467
162,"Chui King House, Choi Hung Estate",Wong Tai Sin,,1468
163,Dorsett Kwun Tong,Kwun Tong,,1469
164,"Tower 3, the Leighton Hill",Wan Chai,,1470
165,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
166,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
167,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
168,17-19 Man Wai Street 慶 豐燒鵝餐廳小廚,Yau Tsim Mong,01/07/2020,1317
169,Shing Wah MansionVan Gogh Kitchen,Wan Chai,01/07/2020,1319
170,The Octagon Sportful Garden Restaurant,Tsuen Wan,01/07/2020,1358
171,"Tamjai Yunnan Mixian, Kings Wing Plaza 2,",Sha Tin,01/07/2020,1385
172,Ngau Chi Wan Municipal Services Building,Kwun Tong,01/07/2020,1414
173,Tuen Mun Town Plaza Teishoku 8,Tuen Mun,01/07/2020,"1402, 1403"
174,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
175,Block 3 Tanner Garden,Eastern,02/07/2020,1296
176,Island Place,Eastern,02/07/2020,1296
177,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
178,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
179,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
180,Hong Kong River Trade Terminal 建榮飯堂,Tuen Mun,02/07/2020,"1269, 1427, 1432"
181,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
182,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
183,12A-12H Westlands Road Ladies & Gentlemen Restaurant,Eastern,03/07/2020,1304
184,Dominion Centre,Wan Chai,03/07/2020,1319
185,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
186,Plaza Hollywood Mcdonald's,Wong Tai Sin,03/07/2020,1429
187,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
188,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
189,Langham Place,Yau Tsim Mong,04/07/2020,1297
190,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
191,Diocesan Boys' School Primary Division,Kowloon City,04/07/2020,1313
192,Prudential CentreFood Republic,Yau Tsim Mong,04/07/2020,1313
193,5 Luard RoadFeather & Bone,Wan Chai,04/07/2020,1319
194,Causeway Bay Plaza Deluxe Daikiya Japanese Restaurant,Wan Chai,04/07/2020,1319
195,Harbour CityShake Shack,Yau Tsim Mong,04/07/2020,1319
196,"Temple Mall South, Kam Kee Cafe",Wong Tai Sin,04/07/2020,1358
197,Choi Wan Commercial Complex Choi Wan Market,Wong Tai Sin,04/07/2020,1361
198,Lei Yue Mun Municipal Services Building,Kwun Tong,04/07/2020,1368
199,Shui Chuen O Plaza 太子 燒味,Sha Tin,04/07/2020,1379
200,Austin Mansion,Yau Tsim Mong,04/07/2020,1394
201,Victoria Mall,Yau Tsim Mong,04/07/2020,1394
202,Tung Wai Court Basement,Tuen Mun,04/07/2020,1402
203,Parklane Plaza,Tuen Mun,04/07/2020,1403
204,Tse Wan Shan Shopping Centre,Wong Tai Sin,04/07/2020,1404
205,"Yuk Shek House, Ping Shek EstateBun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1361, 1388, 1414, 1456, 1457"
206,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
207,13 Tai Wai Road,Sha Tin,05/07/2020,1294
208,New Town Plaza,Sha Tin,05/07/2020,1294
209,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
210,Commerical Complex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
211,Tseun Wan PlazaMou Mou Club,Tsuen Wan,05/07/2020,1313
212,Renaissance Hong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
213,Lee Theatre PlazaThe Graces Restaurant,Wan Chai,05/07/2020,1319
214,Kwun Tong Plaza龍寶 酒家,Kwun Tong,05/07/2020,1332
215,Metro Town Tong Kee Bao Dim,Sai Kung,05/07/2020,1356
216,24 Man Wai Street新華 寶城餐廳,Yau Tsim Mong,05/07/2020,1356
217,56-58 Nga Tsin Wai Road Shun Hing Restaurant,Kowloon City,05/07/2020,1358
218,Domain,Kwun Tong,05/07/2020,1368
219,Lei Yue Mun Plaza,Kwun Tong,05/07/2020,1368
220,Shui Chuen O Plaza McDonalds,Sha Tin,05/07/2020,1381
221,"Beans Be Water, Ma On Shan Plaza",Sha Tin,05/07/2020,1385
222,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396, 1438, 1449"
223,Kings Wing Plaza 1 Rich Pot,Sha Tin,06/07/2020,1293
224,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
225,Richland Garden Shopping Arcade,Tuen Mun,06/07/2020,1296
226,Westlands Centre,Eastern,06/07/2020,1304
227,Trade Square,Sham Shui Po,06/07/2020,1313
228,Choi Ming Shopping Centre 茶魚飯后,Sai Kung,06/07/2020,1356
229,Lee Garden phase 1,Wan Chai,06/07/2020,1358
230,"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,06/07/2020,1359
231,Oriental Crystal Finance Centre,Yau Tsim Mong,06/07/2020,1359
232,Wai King Building,Kwun Tong,06/07/2020,1371
233,Park Central Shopping Centre Kanada-ya,Sai Kung,06/07/2020,1375
234,Sun Chui Shopping Centre Pizza Hut,Sha Tin,06/07/2020,1387
235,2 Kwai Chi Pat,Wong Tai Sin,06/07/2020,1388
236,Yee Hing Court Via Restaurant,Yau Tsim Mong,06/07/2020,1426
237,Winsum Industrial Building,Sham Shui Po,06/07/2020,1428
238,Paul Y. Centre,Kwun Tong,06/07/2020,1431
239,Tsz Wan Shan Shopping Centre Deluxe Cuisine,Wong Tai Sin,06/07/2020,"1365, 1393, 1424, 1425"
240,12 Yuk Wah Cres Times Café,Wong Tai Sin,06/07/2020,"1358, 1359"
241,The Globe,Sham Shui Po,06/07/2020,"1359, 1464"
242,MOSTown,Sha Tin,06/07/2020,"1372, 1385"
243,60A Lung Chi Path新 志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
244,Argyle Centre Phase 1,Yau Tsim Mong,07/07/2020,1315
245,4-24 Ting Fu StreetPing Wheat Noodles,Kwun Tong,07/07/2020,1329
246,Our Lady's College,Wong Tai Sin,07/07/2020,1331
247,Sun Hing Furniture Commercial Building Goose King's Roasted Kitchen,Yau Tsim Mong,07/07/2020,1332
248,MTR Tiu Keng Leng StationHuman Health Medical Centre,Sai Kung,07/07/2020,1356
249,67 Pak Tai Street,Kowloon City,07/07/2020,1368
250,Tokwawan Mansion TamJaiSamGor,Kowloon City,07/07/2020,1368
251,Dongdiwan Shopping Mall Genki Sushi,Islands,07/07/2020,1377
252,Grand Central Plaza Beans The Greenhouse,Sha Tin,07/07/2020,1383
253,Temple Mall South ItaMoMo Café,Wong Tai Sin,07/07/2020,1383
254,Tsz Wan Shan Shopping CentrePho Nguyen Lan,Wong Tai Sin,07/07/2020,1383
255,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,Sha Tin,07/07/2020,1387
256,Kowloon Bay Industrial Centre,Kwun Tong,07/07/2020,1415
257,Causeway Bay Plaza,Wan Chai,07/07/2020,1415
258,The L. Square,Wan Chai,07/07/2020,1415
259,"Cheng Yu Tung Building, The Hong Kong Univeristy of Science and Technology",Sai Kung,07/07/2020,1416
260,The One,Yau Tsim Mong,07/07/2020,1431
261,Hong Kong Baptist Hospital,Kowloon City,07/07/2020,"1314, 1364"
262,Choi Wan Commerical Complex Lucky Dragon Palace Restaurant,Wong Tai Sin,07/07/2020,"1361, 1397"
263,Sincere Podium,Yau Tsim Mong,08/07/2020,1368
264,Park Central Shopping Centre,Sai Kung,08/07/2020,1375
265,5 Jat Min Chuen Street,Sha Tin,08/07/2020,1379
266,"Wet market, Shui Chuen O estate",Sha Tin,08/07/2020,1384
267,PopCorn,Sai Kung,08/07/2020,1404
268,"Phase 3, Ocean Shores,",Sai Kung,08/07/2020,1429
269,Shui Chuen O Plaza,Sha Tin,08/07/2020,"1294, 1384, 1385"
270,City Garden Shopping Centre (Maxi Mall),Eastern,08/07/2020,"1390, 1447"
271,Maritime Square 2 Snack Express,Kwai Tsing,09/07/2020,1333
272,G.T. (Ellen Yeung) School,Sai Kung,09/07/2020,1371
273,City Plaza,Eastern,09/07/2020,1376
274,"TamJai SamGor, Hilton Plaza.",Sha Tin,09/07/2020,1385
275,No.8 Clear Water Bay RoadCafé de Coral,Kwun Tong,09/07/2020,1394
276,World-wide Industrial Centre,Sha Tin,09/07/2020,1400
277,Christian Alliance S C Chan Memorial College,Tuen Mun,09/07/2020,1402
278,Shan King Estate Taoist Ching Chung Primary School,Tuen Mun,09/07/2020,1403
279,Wang Fung Building,Yuen Long,09/07/2020,1428
280,Fu Hong Wet Market,Sai Kung,09/07/2020,1466
281,Ngau Chi Wan Market,Wong Tai Sin,09/07/2020,"1371, 1388, 1389, 1394"
282,Ping Shek Estate Fortune Harbour Restaurant,Kwun Tong,10/07/2020,1414
283,MTR Choi Hung Station Circle K,Wong Tai Sin,10/07/2020,1414
284,Lutheran School for the Deaf,Kwai Tsing,10/07/2020,1457
285,Tseung Kwan O Plaza,Sai Kung,10/07/2020,1466
286,Ching Long Shopping Centre Zone A,Kowloon City,11/07/2020,1457
287,Market in Choi Wan (I) Estate,Wong Tai Sin,12/07/2020,1401
288,Shatin Centre,Sha Tin,12/07/2020,1434
289,118 Connaught Road West,Central & Western,12/07/2020,1440
290,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,12/07/2020,"1310, 1311, 1312, 1321, 1408, 1410"
291,Good Hope School,Wong Tai Sin,12/07/2020,"1375, 1429, 1437"
