,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
83,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
84,"Wing Loong Building, 260-266 Castle Peak Road",Sham Shui Po,,1366
85,"Lucky Building, To Kwa Wan",Kowloon City,,1368
86,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1371
87,"Mei Wo House, Wo Che Estate, Sha Tin",Sha Tin,,1372
88,"Choi Wah House, Choi Fai Estate, Ngau Chi Wan",Wong Tai Sin,,1374
89,"The Wings Phase 1, Tseung Kwan O",Sai Kung,,1375
90,"Hau Tat House, On Tat Estate",Kwun Tong,,1376
91,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1377
92,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1378
93,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1379
94,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1380
95,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1381
96,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1382
97,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1383
98,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1384
99,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1385
100,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1386
101,"Ming Chuen House, Shui Chuen O Estate",Sha Tin,,1387
102,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1388
103,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1389
104,"Wings At Sea, LOHAS Park",Sai Kung,,1390
105,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1391
106,"Panda Hotel, Tsuen Wan",Tsuen Wan,,1392
107,"On Hong House, Tsz On Court",Wong Tai Sin,,1393
108,"Block 1, Bayview Garden",Tsuen Wan,,1394
109,"G/F, No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,,1395
110,"Lei Ye House, Lei Yue Mun Estate, Yau Tong",Kwun Tong,,1396
111,"Sing San House, Choi Wan Estate",Wong Tai Sin,,1397
112,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1398
113,"Lucky Building, To Kwa Wan",Kowloon City,,1400
114,"Choi Wah House, Choi Fai Estate",Wong Tai Sin,,1401
115,"King Mei House, Shan King Estate, Tuen Mun",Tuen Mun,,1402
116,"Ming Sing House, Kin Ming Estate, Tiu Keng Leng",Sai Kung,,1404
117,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
118,On Tat Shopping Centre North Wing,Kwun Tong,26/06/2020,1289
119,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
120,Hong Kong River Trade Terminal,Tuen Mun,30/06/2020,1269
121,17-19 Man Wai Street 慶豐燒鵝餐廳小廚,Yau Tsim Mong,01/07/2020,1317
122,Shing Wah Mansion Van Gogh Kitchen,Wan Chai,01/07/2020,1319
123,The Octagon Sportful Garden Restaurant,Tsuen Wan,01/07/2020,1358
124,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
125,Block 3 Tanner Garden,Eastern,02/07/2020,1296
126,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
127,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
128,Island Place,Eastern,02/07/2020,1296
129,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
130,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
131,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
132,12A-12H Westlands RoadLadies & Gentlemen Restaurant,Eastern,03/07/2020,1304
133,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
134,Dominion Centre,Wan Chai,03/07/2020,1319
135,"Chatham Road South 107-109, Oriental Crystal Finance Centre",Yau Tsim Mong,03/07/2020,1359
136,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
137,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
138,Langham Pllace,Yau Tsim Mong,04/07/2020,1297
139,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
140,Diocesan Boys' School Primary Division,Kowloon City,04/07/2020,1313
141,Prudential Centre Food Republic,Yau Tsim Mong,04/07/2020,1313
142,Harbour City Shake Shack,Yau Tsim Mong,04/07/2020,1319
143,Causeway Bay Plaza Deluxe Daikiya Japanese Restaurant,Wan Chai,04/07/2020,1319
144,5 Luard Road Feather & Bone,Wan Chai,04/07/2020,1319
145,"Temple Mall South, Kam Kee Cafe",Wong Tai Sin,04/07/2020,1358
146,Choi Wan Commercial Complex Choi Wan Market,Wong Tai Sin,04/07/2020,1361
147,Austin Mansion,Yau Tsim Mong,04/07/2020,1394
148,Tse Wan Shan Shopping Centre,Wong Tai Sin,04/07/2020,1404
149,"Yuk Shek House, Ping Shek EstateBun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1361, 1388"
150,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
151,13 Tai Wai Road,Sha Tin,05/07/2020,1294
152,New Town Plaza,Sha Tin,05/07/2020,1294
153,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
154,Commerical Complex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
155,Renaissance Hong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
156,Tseun Wan Plaza Mou Mou Club,Tsuen Wan,05/07/2020,1313
157,Lee Theatre Plaza The Graces Restaurant,Wan Chai,05/07/2020,1319
158,Kwun Tong Plaza龍寶 酒家,Kwun Tong,05/07/2020,1332
159,24 Man Wai Street新 華寶城餐廳,Yau Tsim Mong,05/07/2020,1356
160,Metro Town Tong Kee Bao Dim,Sai Kung,05/07/2020,1356
161,56-58 Nga Tsin Wai RoadShun Hing Restaurant,Kowloon City,05/07/2020,1358
162,56-58 Nga Tsin Wai Road Shun Hing Restaurant),Kowloon City,05/07/2020,1358
163,Domain,Kwun Tong,05/07/2020,1368
164,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396"
165,Kings Wing Plaza 1 Rich Pot Shabu Shabu,Sha Tin,06/07/2020,1293
166,Shui Chuen O Plaza,Sha Tin,06/07/2020,1294
167,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
168,Richland Garden Shopping Arcade,Tuen Mun,06/07/2020,1296
169,Westlands Centre,Eastern,06/07/2020,1304
170,Trade Square,Sham Shui Po,06/07/2020,1313
171,Choi Ming Shopping Centre 茶魚飯后,Sai Kung,06/07/2020,1356
172,Causeway Bay Lee Garden phase 1,Wan Chai,06/07/2020,1358
173,Lee Garden phase 1,Wan Chai,06/07/2020,1358
174,12 Yuk Wah Cres Times Café,Wong Tai Sin,06/07/2020,1358
175,"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,06/07/2020,1359
176,"Wai King Building, 167 Ngau Tau Kok Road",Kwun Tong,06/07/2020,1371
177,MOSTown,Sha Tin,06/07/2020,1372
178,Sun Chui Shopping Centre Pizza Hut,Sha Tin,06/07/2020,1387
179,60A Lung Chi Path 新志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
180,Argyle Centre Phase 1,Yau Tsim Mong,07/07/2020,1315
181,4-24 Ting Fu Street Ping Wheat Noodles,Kwun Tong,07/07/2020,1329
182,Our Lady's College,Wong Tai Sin,07/07/2020,1331
183,Goose King's Roasted Kitchen Furniture Commercial Building,Yau Tsim Mong,07/07/2020,1332
184,MTR Tiu Keng Leng StationHuman Health Medical Centre,Sai Kung,07/07/2020,1356
185,Choi Wan Commerical Complex Lucky Dragon Palace Restaurant,Wong Tai Sin,07/07/2020,1361
186,Good Hope School,Wong Tai Sin,07/07/2020,1375
187,Dongdiwan Shopping Mall Genki Sushi,Islands,07/07/2020,1377
188,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,Sha Tin,07/07/2020,1387
189,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,07/07/2020,"1310, 1311, 1312, 1321"
190,Hong Kong Baptist Hospital,Kowloon City,07/07/2020,"1314, 1364"
191,"Saga Learning Center, Shop 85, 1/F, Maxi Mall, City Garden, North Point",Eastern,08/07/2020,1390
192,"Maxi Mall, Block 1-3 City Garden",Eastern,08/07/2020,1390
193,PopCorn,Sai Kung,08/07/2020,1404
194,Maritime Square 2 Snack Express,Kwai Tsing,09/07/2020,1333
195,G.T. (Ellen Yeung) School,Sai Kung,09/07/2020,1371
196,City Plaza,Eastern,09/07/2020,1376
197,No.8 Clear Water Bay Road Café de Coral,Kwun Tong,09/07/2020,1394
198,Ngau Chi Wan Market,Wong Tai Sin,09/07/2020,"1371, 1394"
