,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
83,"On Hong House, Tsz On Court",Wong Tai Sin,,1365
84,"Wing Loong Building,260-266 Castle Peak Road",Sham Shui Po,,1366
85,Dragon Centre,Sham Shui Po,24/06/2020,"1233, 1263"
86,Mei Tin Shopping Centre,Sha Tin,25/06/2020,1233
87,On Tat ShoppingCentre North Wing,Kwun Tong,26/06/2020,1289
88,Lei Cheng Uk Plaza,Sham Shui Po,29/06/2020,1289
89,Hong Kong River Trade Terminal,Tuen Mun,30/06/2020,1269
90,17-19 Man Wai Street 慶豐燒鵝餐廳小廚,Yau Tsim Mong,01/07/2020,1317
91,Shing Wah Mansion Van Gogh Kitchen,Wan Chai,01/07/2020,1319
92,"HA IT Block, Kowloon Hospital",Kowloon City,02/07/2020,1292
93,Block 3 Tanner Garden,Eastern,02/07/2020,1296
94,"Treasure World, Site 11, Whampoa Garden",Kowloon City,02/07/2020,1296
95,113-115 Tung Choi Street,Yau Tsim Mong,02/07/2020,1296
96,"Home World (Site 12), The Whampoa",Kowloon City,02/07/2020,1296
97,Island Place,Eastern,02/07/2020,1296
98,261 Castle Peak Road,Sham Shui Po,03/07/2020,1263
99,Hong Kong Disneyland Hotel,Islands,03/07/2020,1292
100,12A-12H Westlands RoadLadies & GentlemenRestaurant,Eastern,03/07/2020,1304
101,DominionCentre,Wan Chai,03/07/2020,1319
102,Hysan Place Ippudo HK,Wan Chai,03/07/2020,1319
103,60 Yen Chow Street,Sham Shui Po,04/07/2020,1263
104,Ma On Shan Plaza,Sha Tin,04/07/2020,1292
105,LanghamPllace,Yau Tsim Mong,04/07/2020,1297
106,30-36 Mongkok Road Mcdonald's,Yau Tsim Mong,04/07/2020,1305
107,Diocesan Boys' School PrimaryDivision,Kowloon City,04/07/2020,1313
108,PrudentialCentre Food Republic,Yau Tsim Mong,04/07/2020,1313
109,Causeway Bay Plaza DeluxeDaikiyaJapanese Restaurant,Wan Chai,04/07/2020,1319
110,Harbour City Shake Shack,Yau Tsim Mong,04/07/2020,1319
111,5 Luard Road Feather & Bone,Wan Chai,04/07/2020,1319
112,"Yuk Shek House, Ping Shek EstateBun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1361"
113,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
114,New Town Plaza,Sha Tin,05/07/2020,1294
115,13 Tai Wai Road,Sha Tin,05/07/2020,1294
116,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
117,CommericalComplex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
118,RenaissanceHong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
119,Tseun Wan Plaza Mou Mou Club,Tsuen Wan,05/07/2020,1313
120,Lee Theatre Plaza The Graces Restaurant,Wan Chai,05/07/2020,1319
121,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329"
122,Kings Wing Plaza 1,Sha Tin,06/07/2020,1293
123,Shui Chuen O Plaza,Sha Tin,06/07/2020,1294
124,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
125,RichlandGarden Shopping Arcade,Tuen Mun,06/07/2020,1296
126,Westlands Centre,Eastern,06/07/2020,1304
127,Trade Square,Sham Shui Po,06/07/2020,1313
128,60A Lung Chi Path 新志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
129,Argyle Centre Phase 1,Yau Tsim Mong,07/07/2020,1315
130,4-24 Ting Fu Street Ping Wheat Noodles,Kwun Tong,07/07/2020,1329
131,Our Lady's College,Wong Tai Sin,07/07/2020,1331
132,"No. 6, 8, 10, 12 Po Ming Lane & No. 11 Po Wai Lane",Wong Tai Sin,07/07/2020,"1310, 1311, 1312, 1321"
