,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
41,葵青,葵盛西村 10座,,1317
42,灣仔,禮頓山第三座,,1319
43,荃灣,悅來酒店,,1320
44,觀塘,彩福邨彩歡樓,,1321
45,黃大仙,彩輝邨彩華樓,,1322
46,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1323
47,葵青,葵芳邨葵喜樓,,1324
48,灣仔,香港銅鑼灣皇冠假日酒店,,1325
49,灣仔,香港銅鑼灣皇冠假日酒店,,1326
50,觀塘,順安邨安頌樓,,1329
51,黃大仙,鳳德邨碧鳳樓,,1331
52,黃大仙,鳳德邨碧鳳樓,,1332
53,離島,藍天海岸影岸.紅 A座,,1333
54,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1334
55,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1335
56,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1336
57,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1337
58,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1338
59,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1339
60,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1340
61,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1341
62,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1342
63,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1343
64,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1344
65,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1345
66,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1346
67,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1347
68,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1348
69,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1349
70,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1350
71,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1351
72,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1352
73,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1353
74,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1354
75,西貢,善明邨善智樓,,1356
76,黃大仙,慈正邨正暉樓,,1357
77,黃大仙,慈正邨正暉樓,,1358
78,黃大仙,慈正邨正暉樓,,1359
79,黃大仙,蒲明里 6、8、10、12號及蒲惠里 11號,,1360
80,黃大仙,彩輝邨彩華樓,,1361
81,灣仔,香港銅鑼灣皇冠假日酒店,,1362
82,油尖旺,海富苑海韻閣,,1364
83,黃大仙,慈安苑安康閣,,1365
84,深水埗,青山道 260-266號永隆大廈,,1366
85,深水埗,西九龍中心,24/06/2020,"1233, 1263"
86,沙田,美田邨購物商場,25/06/2020,1233
87,觀塘,安達商場北翼,26/06/2020,1289
88,深水埗,李鄭屋商場,29/06/2020,1289
89,屯門,香港內河碼頭,30/06/2020,1269
90,油尖旺,文蔚街 17-19號 慶豐燒鵝餐廳小廚,01/07/2020,1317
91,灣仔,勝華樓  凡高廚房,01/07/2020,1319
92,九龍城,九龍醫院醫管局資訊大樓,02/07/2020,1292
93,東區,丹拿花園第 3座,02/07/2020,1296
94,九龍城,黃埔花園第 11期聚寶坊,02/07/2020,1296
95,油尖旺,通菜街 113-115號,02/07/2020,1296
96,九龍城,家居庭(第 12期) 黃埔天地,02/07/2020,1296
97,東區,港運城,02/07/2020,1296
98,深水埗,青山道 261 號,03/07/2020,1263
99,離島,香港迪士尼樂園酒店,03/07/2020,1292
100,東區,華蘭路 12A-12H號 男女煮角,03/07/2020,1304
101,灣仔,東美商業中心,03/07/2020,1319
102,灣仔,希慎廣場 一風堂,03/07/2020,1319
103,深水埗,欽州街 60號,04/07/2020,1263
104,沙田,馬鞍山廣場,04/07/2020,1292
105,油尖旺,朗豪坊,04/07/2020,1297
106,油尖旺,旺角道 30-36號  麥當勞,04/07/2020,1305
107,九龍城,拔萃男書院附屬小學,04/07/2020,1313
108,油尖旺,恆豐中心  大食代,04/07/2020,1313
109,灣仔,銅鑼灣廣場  極尚大喜屋日本 料理,04/07/2020,1319
110,油尖旺,海港城  Shake Shack,04/07/2020,1319
111,灣仔,盧押道 5號  Feather & Bone,04/07/2020,1319
112,觀塘,坪石邨玉石樓  彬記粥麵美食,04/07/2020,"1269, 1283, 1291, 1297, 1361"
113,沙田,瀝源商場,05/07/2020,1293
114,沙田,新城市廣場,05/07/2020,1294
115,沙田,大圍道 13號,05/07/2020,1294
116,油尖旺,旺角城大廈,05/07/2020,1304
117,黃大仙,彩雲邨彩雲商場  麥當勞,05/07/2020,1305
118,灣仔,香港萬麗海景酒店,05/07/2020,1313
119,荃灣,荃灣廣場  牛涮鍋,05/07/2020,1313
120,灣仔,利舞臺廣場  玉桃軒,05/07/2020,1319
121,油尖旺,文英街 26-28號  新發茶餐廳,05/07/2020,"1289, 1301, 1317, 1324, 1329"
122,沙田,京瑞廣場 1期,06/07/2020,1293
123,沙田,水泉澳廣場,06/07/2020,1294
124,黃大仙,中華基督教會扶輪中學,06/07/2020,1295
125,屯門,啟豐商場,06/07/2020,1296
126,東區,華蘭中心,06/07/2020,1304
127,深水埗,貿易廣場,06/07/2020,1313
128,黃大仙,龍池徑 60號 A 新志興至尊燒鵝大王,07/07/2020,1305
129,油尖旺,旺角中心第 1座,07/07/2020,1315
130,觀塘,定富街 4-24號  豬嘜車仔麵,07/07/2020,1329
131,黃大仙,聖母書院,07/07/2020,1331
132,黃大仙,蒲明里 6、8、10、12號及蒲 惠里 11號,07/07/2020,"1310, 1311, 1312, 1321"
