,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,沙田,瀝源邨祿泉樓,,1084
1,沙田,瀝源邨祿泉樓,,1085
2,葵青,葵聯邨聯悅樓,,1086
3,葵青,葵聯邨聯悅樓,,1087
4,沙田,瀝源邨福海樓,,1088
5,沙田,顯田村,,1088
6,沙田,瀝源邨祿泉樓,,1089
7,沙田,瀝源邨祿泉樓,,1090
8,沙田,瀝源邨祿泉樓,,1091
9,沙田,瀝源邨祿泉樓,,1092
10,沙田,瀝源邨祿泉樓,,1100
11,沙田,偉華中心,26/05/2020,1091
12,沙田,沙田廣場,26/05/2020,1091
13,葵青,葵盛東商場,29/05/2020,"1086, 1087"
14,深水埗,又一城,30/05/2020,1088
15,葵青,嘉里溫控貨倉 1,30/05/2020,"1084, 1086, 1087"
16,沙田,希爾頓中心,31/05/2020,1090
17,沙田,瀝源廣場,01/06/2020,"1084, 1085, 1089, 1090, 1092"
18,沙田,禾輋廣場,01/06/2020,"1085, 1089, 1091"
19,沙田,好運中心,01/06/2020,"1089, 1091, 1092"
20,沙田,沙田街市,01/06/2020,"1090, 1091, 1092"
