,地區,大廈名單,曾有涉及個案最後到訪的日期,相關確診/疑似個案編號
0,中西區,Mier Serviced Apartments,132,
1,九龍城,新翠園,351,
2,南區,金豐大廈,496,
3,灣仔,柏寧酒店,648,
4,灣仔,英皇駿景酒店,648,
5,油尖旺,帝京酒店,648,
6,元朗,嘉湖山莊樂湖居 4座,876,
7,油尖旺,恆豐酒店,949,
8,油尖旺,帝國酒店,949,
9,油尖旺,最佳盛品酒店尖沙咀,949,
10,中西區,文咸東街 127 號萬和閣,968,
11,葵青,大窩口邨富泰樓,1004,
12,屯門,星堤 11座,1013,
13,葵青,荃灣絲麗酒店,1015,
14,灣仔,太極軒 138,1017,
15,油尖旺,旺角維景酒店,1018,
16,深水埗,樂年花園 2座,1018,
17,東區,康怡花園 F座,1022,
18,離島,海堤灣畔 1座,1024,
19,九龍城,寶石戲院大廈 A座,1025,
20,離島,裕東苑賀東閣,1026,
21,北區,聯發大廈,1034,
22,中西區,四方街 3號,1035,
23,灣仔,The Ellipsis,1036,
24,深水埗,石硤尾報案中心及西九龍機動 部隊行動基地,"663, 854",01/04/2020
25,東區,華蘭中心,"801, 960",01/04/2020
26,灣仔,告士打道 88號,"923, 925",03/04/2020
27,中西區,信德中心,"923, 932",04/04/2020
28,灣仔,皇室堡,"903, 925, 944",05/04/2020
29,東區,太古城中心,1022,14/04/2020
30,南區,海怡東商場,496,16/04/2020
31,沙田,愉翠商場,1004,17/04/2020
32,荃灣,大窩口第二商場,1004,20/04/2020
33,荃灣,荃薈,1004,20/04/2020
34,中西區,文華東方酒店,1036,21/04/2020
35,中西區,the L. place,1036,21/04/2020
